Frequency Samples,Real,Imag
-6501.6,-9.91821e-05,1.16229e-06
-6501.5,1.99164,-0.0248723
-6501.4,-0.485849,0.00606275
-6501.3,1.96536,-0.0246384
-6501.2,-4.49896,0.0565076
-6501.1,-7.99924,0.100663
-6501,8.6002,-0.108436
-6500.9,2.03463,-0.0257014
-6500.8,4.49467,-0.0568843
-6500.7,2.00799,-0.025461
-6500.6,3.99959,-0.0507812
-6500.5,1.99148,-0.0253477
-6500.4,4.44862,-0.0567286
-6500.3,1.9647,-0.0251009
-6500.2,8.34262,-0.106782
-6500.1,-7.99921,0.10258
-6500,-4.44377,0.0570927
-6499.9,2.03529,-0.0261978
-6499.8,-0.458073,0.00590777
-6499.7,2.00813,-0.0259449
-6499.6,-0.00010705,1.81794e-06
-6499.5,1.99131,-0.0258229
-6499.4,-0.486387,0.00632358
-6499.3,1.96403,-0.025563
-6499.2,-4.49996,0.0586777
-6499.1,-7.99918,0.104498
-6499,8.60508,-0.112621
-6498.9,2.03594,-0.0266943
-6498.8,4.4955,-0.0590508
-6498.7,2.00828,-0.0264277
-6498.6,3.99955,-0.0527344
-6498.5,1.99115,-0.0262978
-6498.4,4.44772,-0.0588493
-6498.3,1.96337,-0.0260254
-6498.2,8.33778,-0.110719
-6498.1,-7.99915,0.106415
-6498,-4.44269,0.0592092
-6497.9,2.0366,-0.027191
-6497.8,-0.457555,0.00611949
-6497.7,2.00843,-0.0269117
-6497.6,-0.000115275,1.57952e-06
-6497.5,1.99098,-0.0267727
-6497.4,-0.486913,0.00656104
-6497.3,1.9627,-0.0264872
-6497.2,-4.50097,0.0608487
-6497.1,-7.99912,0.108332
-6497,8.60997,-0.116819
-6496.9,2.03725,-0.0276879
-6496.8,4.49634,-0.0612173
-6496.7,2.00857,-0.0273945
-6496.6,3.99953,-0.0546265
-6496.5,1.99082,-0.0272477
-6496.4,4.44682,-0.0609696
-6496.3,1.96204,-0.0269485
-6496.2,8.33294,-0.11465
-6496.1,-7.99909,0.110249
-6496,-4.44162,0.0613242
-6495.9,2.03791,-0.0281852
-6495.8,-0.457032,0.00633311
-6495.7,2.00872,-0.027878
-6495.6,-0.000123739,1.51992e-06
-6495.5,1.99065,-0.0277231
-6495.4,-0.487446,0.00679493
-6495.3,1.96137,-0.0274093
-6495.2,-4.50197,0.0630211
-6495.1,-7.99906,0.112167
-6495,8.61484,-0.121008
-6494.9,2.03856,-0.0286838
-6494.8,4.49717,-0.0633845
-6494.7,2.00886,-0.0283623
-6494.6,3.99949,-0.0566406
-6494.5,1.99048,-0.0281975
-6494.4,4.44592,-0.0630884
-6494.3,1.96071,-0.0278698
-6494.2,8.3281,-0.118581
-6494.1,-7.99902,0.114084
-6494,-4.44054,0.0634387
-6493.9,2.03921,-0.0291808
-6493.8,-0.456512,0.00654507
-6493.7,2.00901,-0.0288458
-6493.6,-0.000132442,1.66893e-06
-6493.5,1.99032,-0.0286729
-6493.4,-0.487969,0.00704312
-6493.3,1.96004,-0.0283306
-6493.2,-4.50297,0.0651934
-6493.1,-7.99899,0.116001
-6493,8.61972,-0.125211
-6492.9,2.03987,-0.0296797
-6492.8,4.49801,-0.0655532
-6492.7,2.00915,-0.0293298
-6492.6,3.99945,-0.0585327
-6492.5,1.99015,-0.0291471
-6492.4,4.44501,-0.0652068
-6492.3,1.95938,-0.0287907
-6492.2,8.32326,-0.1225
-6492.1,-7.99896,0.117918
-6492,-4.43946,0.0655515
-6491.9,2.04052,-0.0301782
-6491.8,-0.455994,0.00675344
-6491.7,2.0093,-0.0298128
-6491.6,-0.000141501,1.87755e-06
-6491.5,1.98998,-0.0296218
-6491.4,-0.488495,0.00728178
-6491.3,1.95871,-0.02925
-6491.2,-4.50397,0.0673677
-6491.1,-7.99892,0.119835
-6491,8.6246,-0.129416
-6490.9,2.04117,-0.0306776
-6490.8,4.49884,-0.0677228
-6490.7,2.00944,-0.0302968
-6490.6,3.99942,-0.0603027
-6490.5,1.98982,-0.030097
-6490.4,4.44411,-0.0673244
-6490.3,1.95805,-0.0297095
-6490.2,8.31842,-0.126416
-6490.1,-7.99889,0.121752
-6490,-4.43838,0.0676637
-6489.9,2.04183,-0.0311772
-6489.8,-0.455472,0.00696492
-6489.7,2.00959,-0.030781
-6489.6,-0.000150561,2.17557e-06
-6489.5,1.98965,-0.030571
-6489.4,-0.489028,0.00752878
-6489.3,1.95738,-0.030169
-6489.2,-4.50497,0.0695429
-6489.1,-7.99885,0.123669
-6489,8.62949,-0.133628
-6488.9,2.04248,-0.0316767
-6488.8,4.49967,-0.0698924
-6488.7,2.00973,-0.0312648
-6488.6,3.9994,-0.0622559
-6488.5,1.98948,-0.0310454
-6488.4,4.4432,-0.0694413
-6488.3,1.95671,-0.0306276
-6488.2,8.31359,-0.130329
-6488.1,-7.99882,0.125586
-6488,-4.43729,0.0697749
-6487.9,2.04313,-0.0321766
-6487.8,-0.454948,0.00717473
-6487.7,2.00987,-0.0317492
-6487.6,-0.000159979,2.5034e-06
-6487.5,1.98932,-0.0315199
-6487.4,-0.489554,0.00777102
-6487.3,1.95605,-0.0310864
-6487.2,-4.50597,0.0717188
-6487.1,-7.99878,0.127503
-6487,8.63437,-0.137839
-6486.9,2.04379,-0.0326767
-6486.8,4.5005,-0.0720642
-6486.7,2.01002,-0.032233
-6486.6,3.99933,-0.064209
-6486.5,1.98915,-0.0319936
-6486.4,4.4423,-0.0715575
-6486.3,1.95538,-0.0315444
-6486.2,8.30875,-0.13424
-6486.1,-7.99874,0.12942
-6486,-4.43621,0.0718855
-6485.9,2.04444,-0.0331776
-6485.8,-0.454432,0.00738239
-6485.7,2.01016,-0.032717
-6485.6,-0.000170112,2.6226e-06
-6485.5,1.98898,-0.0324683
-6485.4,-0.490079,0.00801325
-6485.3,1.95472,-0.0320027
-6485.2,-4.50697,0.0738957
-6485.1,-7.99871,0.131338
-6485,8.63926,-0.142064
-6484.9,2.04509,-0.0336785
-6484.8,4.50133,-0.074235
-6484.7,2.0103,-0.0332019
