Frequency Samples,Real,Imag
-15.1,-3.52025,-7.04729
-15,18.5179,37.3578
-14.9,2.49047,5.06322
-14.8,0.611288,1.25246
-14.7,3.17231,6.5506
-14.6,1.09187,2.27238
-14.5,0.0988007,0.207249
-14.4,1.70816,3.6116
-14.3,0.688049,1.46638
-14.2,-0.245525,-0.527469
-14.1,1.07732,2.33312
-14,0.424535,0.926863
-13.9,-0.657972,-1.44823
-13.8,0.64459,1.43042
-13.7,0.177598,0.397359
-13.6,-1.36948,-3.08949
-13.5,0.177119,0.402908
-13.4,-0.177393,-0.406911
-13.3,-3.5484,-8.20816
-13.2,-1.20588,-2.8131
-13.1,-3.03119,-7.13157
-13,18.8789,44.7982
-12.9,2.2384,5.35742
-12.8,0.585787,1.41421
-12.7,2.82168,6.87169
-12.6,0.919296,2.25847
-12.5,0.0796344,0.197373
-12.4,1.47979,3.70033
-12.3,0.552872,1.39489
-12.2,-0.234708,-0.59751
-12.1,0.911941,2.34269
-12,0.315414,0.81768
-11.9,-0.59625,-1.55996
-11.8,0.528602,1.39578
-11.7,0.0928234,0.247392
-11.6,-1.2041,-3.23934
-11.5,0.124863,0.339097
-11.4,-0.228457,-0.626358
-11.3,-3.00973,-8.33096
-11.2,-0.998476,-2.79055
-11.1,-2.54399,-7.17934
-11,19.1924,54.695
-10.9,1.95897,5.63803
-10.8,0.541875,1.57512
-10.7,2.44203,7.16988
-10.6,0.749814,2.22381
-10.5,0.0605791,0.181504
-10.4,1.24529,3.76955
-10.3,0.427769,1.30834
-10.2,-0.216829,-0.670112
-10.1,0.748653,2.33824
-10,0.221116,0.697972
-9.9,-0.522985,-1.66861
-9.8,0.419414,1.3527
-9.7,0.0282627,0.0921504
-9.6,-1.02403,-3.37578
-9.5,0.0825387,0.275131
-9.4,-0.249293,-0.840348
-9.3,-2.46784,-8.41339
-9.2,-0.79738,-2.74964
-9.1,-2.06153,-7.19127
-9,19.4567,68.6654
-8.9,1.65297,5.90255
-8.8,0.479668,1.7333
-8.7,2.03508,7.4426
-8.6,0.585763,2.16832
-8.5,0.0425689,0.159521
-8.4,1.00652,3.81879
-8.3,0.314356,1.20771
-8.2,-0.191364,-0.744553
-8.1,0.588751,2.3202
-8,0.142611,0.569333
-7.9,-0.438334,-1.77299
-7.8,0.31769,1.30213
-7.7,-0.0159477,-0.0662476
-7.6,-0.830584,-3.49743
-7.5,0.0496823,0.212096
-7.4,-0.241693,-1.04626
-7.3,-1.92602,-8.45553
-7.2,-0.604317,-2.69114
-7.1,-1.5866,-7.16827
-7,19.67,90.1792
-6.9,1.32139,6.14858
-6.8,0.399463,1.88692
-6.7,1.60281,7.68742
-6.6,0.429525,2.09219
-6.5,0.0265601,0.131417
-6.4,0.765367,3.84776
-6.3,0.214157,1.09417
-6.2,-0.157895,-0.820061
-6.1,0.433468,2.28911
-6,0.0807004,0.43344
-5.9,-0.342585,-1.87192
-5.8,0.22391,1.24502
-5.7,-0.0398765,-0.225701
-5.6,-0.62518,-3.603
-5.5,0.025723,0.150995
-5.4,-0.207635,-1.24175
-5.3,-1.3875,-8.45777
-5.2,-0.420921,-2.61602
-5.1,-1.12187,-7.11145
-5,19.8311,128.263
-4.9,0.965451,6.37375
-4.8,0.301738,2.03415
-4.7,1.1474,7.90208
-4.6,0.283548,1.99581
-4.5,0.0135202,0.0973072
-4.4,0.523755,3.85635
-4.3,0.128587,0.969054
-4.2,-0.116066,-0.895747
-4.1,0.283967,2.24561
-4,0.0360203,0.292045
-3.9,-0.236149,-1.96423
-3.8,0.138465,1.18235
-3.7,-0.0437946,-0.384152
-3.6,-0.409368,-3.69139
-3.5,0.00999582,0.0927354
-3.4,-0.149144,-1.42461
-3.3,-0.855465,-8.42075
-3.2,-0.248726,-2.52535
-3.1,-0.669877,-7.02217
-3,19.9391,216.026
-2.9,0.586603,6.57579
-2.8,0.18715,2.17326
-2.7,0.671217,8.08451
-2.6,0.15027,1.87986
-2.5,0.00441313,0.0574232
-2.4,0.283599,3.84466
-2.3,0.0589349,0.833828
-2.2,-0.0656166,-0.970849
-2.1,0.141322,2.19047
-2,0.00902796,0.146952
-1.9,-0.119563,-2.0488
-1.8,0.0616336,1.11508
-1.7,-0.0281682,-0.539593
-1.6,-0.184798,-3.76164
-1.5,0.00175583,0.0381296
-1.4,-0.0684408,-1.59298
-1.3,-0.33302,-8.34538
-1.2,-0.0891489,-2.4204
-1.1,-0.233012,-6.90196
-1,19.9932,651.473
-0.9,0.186496,6.75254
-0.8,0.0565243,2.30254
-0.7,0.176834,8.23282
-0.6,0.032118,1.74519
-0.5,0.000185966,0.0121202
-0.4,0.0467941,3.81294
-0.3,0.00635171,0.690097
-0.2,-0.00639868,-1.04425
-0.1,0.00651789,2.12456
0,0,0
0.1,0.00651789,-2.12456
0.2,-0.00640154,1.04426
0.3,0.00635147,-0.690097
0.4,0.046794,-3.81294
0.5,0.000185251,-0.0121199
0.6,0.032115,-1.74516
0.7,0.176833,-8.23282
0.8,0.0565239,-2.30254
0.9,0.186496,-6.75254
1,19.9932,-651.473
1.1,-0.233013,6.90196
1.2,-0.0891486,2.4204
1.3,-0.333019,8.34538
1.4,-0.0684617,1.59295
1.5,0.00175619,-0.0381294
1.6,-0.184797,3.76164
1.7,-0.0281681,0.539593
1.8,0.0616322,-1.11508
1.9,-0.119563,2.0488
2,0.00902843,-0.146952
2.1,0.141322,-2.19047
2.2,-0.0656335,0.970799
2.3,0.0589353,-0.833827
2.4,0.283599,-3.84466
2.5,0.00441265,-0.0574236
2.6,0.150273,-1.87982
2.7,0.671216,-8.08451
2.8,0.18715,-2.17326
2.9,0.586603,-6.57579
3,19.9391,-216.026
3.1,-0.669877,7.02217
3.2,-0.248725,2.52535
3.3,-0.855465,8.42075
3.4,-0.149145,1.4246
3.5,0.00999641,-0.0927354
