Frequency Samples,Real,Imag
-1.4,-1.63156e-07,-0.000320506
-1.3,2.63099e-07,-0.00624701
-1.2,4.75405e-06,0.000701503
-1.1,8.30158e-07,-0.000500259
-1,-2.1304e-08,0.635999
-0.9,-4.5402e-07,0.000496779
-0.8,3.56347e-06,-0.000709681
-0.7,-5.99364e-07,0.0061243
-0.6,4.71645e-06,0.000327593
-0.5,-7.72707e-07,-0.000979096
-0.4,8.84756e-09,0.00300076
-0.3,8.45175e-07,0.000155007
-0.2,-1.86102e-06,-0.00134551
-0.1,6.51926e-07,0.00191564
0,0,-4.54779e-07
0,0,0
0.1,-4.30737e-09,-0.00191587
0.2,1.04774e-09,0.001345
0.3,1.7928e-08,-0.00015421
0.4,-2.86964e-08,-0.00299926
0.5,2.32831e-09,0.000978087
0.6,-4.5402e-09,-0.000316283
0.7,-1.22236e-09,-0.00612316
0.8,1.04774e-08,0.000711391
0.9,-6.92671e-09,-0.000495922
1,-1.72877e-08,-0.635998
1.1,-2.14786e-08,0.000499675
1.2,5.4948e-08,-0.000706771
1.3,1.67638e-08,0.00624643
1.4,1.02445e-08,0.000319644
1.5,3.72529e-08,-0.000972046
1.6,2.68919e-08,0.00303086
1.7,-4.07454e-09,0.000157298
1.8,1.83936e-08,-0.00133631
1.9,-1.46101e-08,0.00193051
2,3.49246e-09,2.97708e-06
2.1,2.43308e-08,-0.00190145
2.2,1.97906e-08,0.0013537
2.3,-1.76951e-08,-0.000151173
2.4,1.50176e-08,-0.00296827
2.5,-3.6729e-08,0.000984073
2.6,7.0082e-08,-0.000312997
2.7,4.47035e-08,-0.00600453
2.8,2.468e-08,0.000715968
2.9,-2.00816e-07,-0.000492483
3,-7.6252e-09,-0.211998
3.1,-1.75205e-08,0.000503561
3.2,-2.54367e-08,-0.000702206
3.3,2.28174e-08,0.00637471
3.4,-1.86265e-09,0.000322992
3.5,-1.90339e-08,-0.000966118
3.6,1.83936e-08,0.00306302
3.7,-2.73576e-09,0.000160359
3.8,3.11993e-08,-0.00132778
3.9,-8.14907e-10,0.00194526
4,2.6077e-08,6.02317e-06
4.1,3.9232e-08,-0.00188714
4.2,-5.87897e-09,0.00136257
4.3,3.09665e-08,-0.000148127
4.4,2.32831e-09,-0.00293784
4.5,-5.1572e-08,0.000990098
4.6,4.30737e-08,-0.000309774
4.7,-1.36788e-07,-0.00589026
4.8,4.5402e-09,0.000720538
4.9,-8.59145e-08,-0.000488347
5,1.27824e-07,-0.127197
5.1,-1.19908e-08,0.000507263
5.2,-5.05825e-08,-0.000697651
5.3,1.6531e-08,0.00650814
5.4,4.57745e-07,0.000325598
5.5,6.58911e-08,-0.000960172
5.6,-1.15833e-07,0.00309575
5.7,-1.13039e-07,0.000163386
5.8,2.90805e-07,-0.00131929
5.9,-2.35741e-08,0.00196031
6,3.27593e-07,9.03665e-06
6.1,-5.10481e-08,-0.00187318
6.2,-3.31784e-08,0.00137106
6.3,-5.84987e-08,-0.000144954
6.4,-3.20724e-08,-0.00290802
6.5,-5.72181e-08,0.000996207
6.6,5.25033e-08,-0.000306549
6.7,-5.57629e-08,-0.00578037
6.8,3.84171e-08,0.000725259
6.9,3.60887e-08,-0.000484709
7,8.61473e-09,-0.0908533
7.1,-7.40984e-08,0.000511038
7.2,1.3737e-08,-0.000693124
7.3,-3.03844e-08,0.00664719
7.4,-6.15255e-08,0.000329602
7.5,-1.47731e-07,-0.000954491
7.6,-1.74623e-10,0.0031293
7.7,6.91507e-08,0.00016648
7.8,-9.1386e-09,-0.00131081
7.9,-4.13274e-09,0.00197552
8,7.0082e-08,1.19409e-05
8.1,1.53785e-07,-0.00185913
8.2,3.72529e-08,0.00138033
8.3,2.49129e-07,-0.000142096
8.4,4.2608e-08,-0.00287869
8.5,2.08383e-07,0.00100246
8.6,1.12224e-07,-0.000303046
8.7,6.63567e-09,-0.00567396
8.8,7.43894e-08,0.000729937
8.9,6.06524e-08,-0.000480884
9,6.14673e-08,-0.070662
9.1,-2.03843e-07,0.000514986
9.2,-1.17172e-07,-0.000688806
9.3,-1.29861e-07,0.00679229
9.4,4.1211e-08,0.00033289
9.5,1.23749e-07,-0.000948349
9.6,2.22353e-08,0.00316341
9.7,2.03378e-07,0.000169503
9.8,-1.75787e-08,-0.00130253
9.9,-8.68458e-08,0.00199081
10,-7.3167e-08,1.50688e-05
10.1,6.5018e-07,-0.00184518
10.2,6.8685e-08,0.00138975
10.3,7.17118e-08,-0.000138968
10.4,-1.31316e-07,-0.0028499
10.5,-2.45287e-07,0.00100859
10.6,-1.69326e-07,-0.000299878
10.7,1.18976e-07,-0.00557153
10.8,-4.81377e-08,0.000734564
10.9,-7.05477e-08,-0.000477082
11,2.15601e-07,-0.0578127
11.1,-6.5309e-08,0.000518749
11.2,1.97673e-07,-0.000684014
11.3,-3.94764e-07,0.00694362
11.4,-6.5309e-08,0.000336405
11.5,3.36906e-07,-0.000942533
11.6,3.1793e-07,0.00319813
11.7,-1.15659e-07,0.000173017
11.8,-1.25146e-08,-0.00129414
11.9,1.1886e-07,0.00200585
12,1.10827e-07,1.80143e-05
12.1,1.07801e-07,-0.00183167
12.2,9.23174e-08,0.00139856
12.3,1.32713e-08,-0.000135948
12.4,-4.33356e-07,-0.00282158
12.5,2.32831e-09,0.00101483
12.6,-3.74159e-07,-0.000296837
12.7,1.41328e-07,-0.00547252
12.8,-4.08618e-08,0.000739246
12.9,-2.12458e-08,-0.000473739
13,3.84171e-08,-0.0489165
13.1,1.77417e-07,0.000522582
13.2,-1.07946e-06,-0.000678514
13.3,2.84053e-08,0.0071016
13.4,-4.57512e-08,0.000339518
13.5,-1.05705e-07,-0.000936661
13.6,-7.78236e-08,0.00323376
13.7,1.22003e-07,0.000175919
13.8,-1.03959e-07,-0.00128635
13.9,8.25385e-08,0.0020215
14,1.65892e-07,2.09981e-05
14.1,3.28058e-07,-0.00181837
14.2,-3.71365e-08,0.00140764
14.3,-5.00586e-09,-0.000132656
14.4,1.95345e-07,-0.00279405
14.5,3.05939e-07,0.00102099
14.6,6.32834e-07,-0.000292101
14.7,1.5134e-08,-0.00537732
14.8,3.1665e-08,0.000743889
14.9,-8.02684e-08,-0.000469693
15,7.54371e-07,-0.0423924
15.1,1.73226e-07,0.000526519
15.2,-2.42377e-07,-0.00067524
15.3,2.84053e-08,0.00726686
15.4,-1.56811e-07,0.000343016
15.5,1.18045e-07,-0.000931437
15.6,8.21427e-07,0.00327045
15.7,-1.98721e-07,0.000178637
15.8,-1.83412e-07,-0.0012784
15.9,-9.56352e-07,0.00203807
16,-6.18747e-08,2.38709e-05
16.1,-5.97851e-07,-0.00180492
16.2,-2.5495e-08,0.00141664
16.3,5.05941e-07,-0.000129963
16.4,-6.59493e-08,-0.00276646
16.5,-6.52159e-07,0.00102715
16.6,3.69735e-07,-0.000289902
16.7,-4.709e-08,-0.00528508
16.8,2.57627e-07,0.000748831
16.9,-2.90282e-07,-0.000466726
17,-1.42783e-07,-0.0374031
17.1,1.01631e-07,0.000530185
17.2,-5.26197e-08,-0.000670769
17.3,2.5332e-07,0.00743997
17.4,1.16415e-09,0.000346825
17.5,3.06754e-07,-0.000925305
17.6,-1.57976e-07,0.00330701
17.7,-1.41095e-07,0.000181997
17.8,-9.86038e-08,-0.00126955
17.9,4.23752e-08,0.00205478
18,6.76373e-08,2.71649e-05
18.1,5.13392e-08,-0.00179164
18.2,8.57981e-08,0.00142614
18.3,6.02915e-07,-0.000126229
18.4,3.15486e-07,-0.0027398
18.5,-1.67056e-07,0.00103327
18.6,-5.8033e-08,-0.00028674
18.7,2.60887e-07,-0.0051954
18.8,-1.53203e-07,0.000753441
18.9,1.45868e-07,-0.000462643
19,8.69622e-08,-0.0334643
19.1,-2.28523e-07,0.000533824
19.2,-2.24914e-07,-0.000666874
19.3,-1.35391e-07,0.00762091
19.4,1.0035e-07,0.000350129
19.5,1.38301e-07,-0.000919363
19.6,-2.23517e-07,0.00334489
19.7,7.333e-07,0.000185211
19.8,1.5262e-07,-0.00126127
19.9,-4.01051e-08,0.00207088
